@relation data2

@attribute SEHIRLER {ADANA,AFYON,AGRI,AMASYA,ANKARA,ANTALYA,AYDIN,BALIKESIR,BOLU,BURDUR,BURSA,CANAKKALE,CANKIRI,DUZCE,ERZURUM,ESKISEHIR,GAZIANTEP,GIRESUN,HATAY,ISTANBUL,IZMIR,KARS,KASTAMONU,KASYSERI,KILIS,KOCAELI,KONYA,KUTAHYA,MANISA,MERSIN,MUGLA,NEVSEHIR,NIGDE,ORDU,OSMANIYE,SAMSUN,TEKIRDAG,TOKAT,TRABZON,SINOP,USAK,ZONGULDAK}
@attribute SO2 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute O3 numeric
@attribute PM10 numeric
@attribute 'HAVA KALITESI' {iyi,kotu}

@data
ADANA,3.04,11.14,438.95,64.05,47.99,iyi
ADANA,1.93,9.1,383.02,58.09,33.61,iyi
ADANA,2.36,7.92,452.69,66.01,29.79,iyi
ADANA,4.41,8.27,488.94,68,27.41,iyi
ADANA,3.87,8.31,525.01,62.61,30.88,iyi
ADANA,3.14,7.32,488.14,66.41,26.6,iyi
ADANA,2.52,4.7,391.79,54.4,19.84,iyi
ADANA,2.44,5.98,367.83,47.89,12.58,iyi
ADANA,2.69,5.74,387.41,43.8,17.26,iyi
ADANA,7.96,9.53,567.37,39.46,20.03,iyi
AFYON,8.93,62.69,601.27,29.3,33.81,iyi
AFYON,8.98,115.77,1032.12,23.4,37.93,iyi
AFYON,12.58,110.03,1282.73,18.67,66.78,iyi
AFYON,10.556667,77.47,826.465556,14.62,49.324444,iyi
AFYON,18.85,124.63,1289.8,16.3,73.89,kotu
AFYON,18.71,67.26,817.01,21.18,69.19,iyi
AFYON,9.35,54.21,627.24,21.81,43.88,iyi
AFYON,5.03,23.27,317.46,34.58,22.99,iyi
AFYON,5.32,59.59,620.62,18.82,46.48,iyi
AFYON,7.26,79.78,849.94,18.35,48.97,iyi
AGRI,34.86,43.27,1354.19,39.08,119.4,kotu
AGRI,39.4,40.2,1227.23,31.01,128.77,kotu
AGRI,39.52,40.21,1207.09,31.76,131.66,kotu
AGRI,47.92,42.36,1503.85,28.35,149.15,kotu
